"Time (s) E5-Rod-T1","Angle (rad) E5-Rod-T1","Angular Velocity (rad/s) E5-Rod-T1","Angular Acceleration (rad/s²) E5-Rod-T1","Position (m) E5-Rod-T1","Velocity (m/s) E5-Rod-T1","Acceleration (m/s²) E5-Rod-T1","Time (s) E5-Rod-T2","Angle (rad) E5-Rod-T2","Angular Velocity (rad/s) E5-Rod-T2","Angular Acceleration (rad/s²) E5-Rod-T2","Position (m) E5-Rod-T2","Velocity (m/s) E5-Rod-T2","Acceleration (m/s²) E5-Rod-T2","Time (s) E5-Rod-T3","Angle (rad) E5-Rod-T3","Angular Velocity (rad/s) E5-Rod-T3","Angular Acceleration (rad/s²) E5-Rod-T3","Position (m) E5-Rod-T3","Velocity (m/s) E5-Rod-T3","Acceleration (m/s²) E5-Rod-T3","Time (s) E5-M1-T1","Angle (rad) E5-M1-T1","Angular Velocity (rad/s) E5-M1-T1","Angular Acceleration (rad/s²) E5-M1-T1","Position (m) E5-M1-T1","Velocity (m/s) E5-M1-T1","Acceleration (m/s²) E5-M1-T1","Time (s) E5-M1-T2","Angle (rad) E5-M1-T2","Angular Velocity (rad/s) E5-M1-T2","Angular Acceleration (rad/s²) E5-M1-T2","Position (m) E5-M1-T2","Velocity (m/s) E5-M1-T2","Acceleration (m/s²) E5-M1-T2","Time (s) E5-M1-T3","Angle (rad) E5-M1-T3","Angular Velocity (rad/s) E5-M1-T3","Angular Acceleration (rad/s²) E5-M1-T3","Position (m) E5-M1-T3","Velocity (m/s) E5-M1-T3","Acceleration (m/s²) E5-M1-T3","Time (s) E5-M2-T1","Angle (rad) E5-M2-T1","Angular Velocity (rad/s) E5-M2-T1","Angular Acceleration (rad/s²) E5-M2-T1","Position (m) E5-M2-T1","Velocity (m/s) E5-M2-T1","Acceleration (m/s²) E5-M2-T1","Time (s) E5-M2-T2","Angle (rad) E5-M2-T2","Angular Velocity (rad/s) E5-M2-T2","Angular Acceleration (rad/s²) E5-M2-T2","Position (m) E5-M2-T2","Velocity (m/s) E5-M2-T2","Acceleration (m/s²) E5-M2-T2","Time (s) E5-M2-T3","Angle (rad) E5-M2-T3","Angular Velocity (rad/s) E5-M2-T3","Angular Acceleration (rad/s²) E5-M2-T3","Position (m) E5-M2-T3","Velocity (m/s) E5-M2-T3","Acceleration (m/s²) E5-M2-T3","Time (s) E5-M3-T1","Angle (rad) E5-M3-T1","Angular Velocity (rad/s) E5-M3-T1","Angular Acceleration (rad/s²) E5-M3-T1","Position (m) E5-M3-T1","Velocity (m/s) E5-M3-T1","Acceleration (m/s²) E5-M3-T1","Time (s) E5-M3-T2","Angle (rad) E5-M3-T2","Angular Velocity (rad/s) E5-M3-T2","Angular Acceleration (rad/s²) E5-M3-T2","Position (m) E5-M3-T2","Velocity (m/s) E5-M3-T2","Acceleration (m/s²) E5-M3-T2","Time (s) E5-M3-T3","Angle (rad) E5-M3-T3","Angular Velocity (rad/s) E5-M3-T3","Angular Acceleration (rad/s²) E5-M3-T3","Position (m) E5-M3-T3","Velocity (m/s) E5-M3-T3","Acceleration (m/s²) E5-M3-T3","Time (s) E5-M4-T1","Angle (rad) E5-M4-T1","Angular Velocity (rad/s) E5-M4-T1","Angular Acceleration (rad/s²) E5-M4-T1","Position (m) E5-M4-T1","Velocity (m/s) E5-M4-T1","Acceleration (m/s²) E5-M4-T1","Time (s) E5-M4-T2","Angle (rad) E5-M4-T2","Angular Velocity (rad/s) E5-M4-T2","Angular Acceleration (rad/s²) E5-M4-T2","Position (m) E5-M4-T2","Velocity (m/s) E5-M4-T2","Acceleration (m/s²) E5-M4-T2","Time (s) E5-M4-T3","Angle (rad) E5-M4-T3","Angular Velocity (rad/s) E5-M4-T3","Angular Acceleration (rad/s²) E5-M4-T3","Position (m) E5-M4-T3","Velocity (m/s) E5-M4-T3","Acceleration (m/s²) E5-M4-T3"
8.740,-0.085,0.602,-3.054,-0.0020,0.014,-0.073,8.740,-0.060,0.550,1.745,-0.0014,0.013,0.042,8.740,0.052,-0.419,0.873,0.0012,-0.010,0.021,8.740,0.052,0.445,-0.873,0.0012,0.011,-0.021,8.740,-0.102,-0.654,-1.309,-0.0024,-0.016,-0.031,8.740,-0.097,-0.733,-0.873,-0.0023,-0.018,-0.021,8.740,0.080,0.890,-4.800,0.0019,0.021,-0.115,8.740,0.112,,,0.0027,,,8.740,0.101,0.707,-1.745,0.0024,0.017,-0.042,8.740,0.112,-0.340,-4.363,0.0027,-0.008,-0.104,8.740,-0.119,0.236,4.363,-0.0029,0.006,0.104,8.740,-0.069,0.602,3.491,-0.0016,0.014,0.083,8.740,0.138,-0.628,-3.054,0.0033,-0.015,-0.073,8.740,-0.119,-0.079,3.927,-0.0029,-0.002,0.094,8.740,0.335,0.209,-8.290,0.0080,0.005,-0.198
8.750,-0.079,0.550,-3.491,-0.0019,0.013,-0.083,8.750,-0.055,0.550,1.309,-0.0013,0.013,0.031,8.750,0.047,-0.419,1.745,0.0011,-0.010,0.042,8.750,0.057,0.419,-1.309,0.0014,0.010,-0.031,8.750,-0.110,-0.707,-5.107E-13,-0.0026,-0.017,-1.249E-14,8.750,-0.105,-0.733,-5.496E-13,-0.0025,-0.018,-1.162E-14,8.750,0.090,0.785,-9.599,0.0021,0.019,-0.229,,,,,,,,8.750,0.107,0.681,-0.873,0.0026,0.016,-0.021,8.750,0.108,-0.367,-4.363,0.0026,-0.009,-0.104,8.750,-0.118,0.262,3.491,-0.0028,0.006,0.083,8.750,-0.063,0.628,2.182,-0.0015,0.015,0.052,8.750,0.130,-0.602,0.873,0.0031,-0.014,0.021,8.750,-0.121,-0.052,3.054,-0.0029,-0.001,0.073,8.750,0.336,0.105,-8.290,0.0080,0.003,-0.198
8.760,-0.074,0.524,-3.054,-0.0018,0.013,-0.073,8.760,-0.049,0.550,2.618,-0.0012,0.013,0.063,8.760,0.042,-0.393,3.054,0.0010,-0.009,0.073,8.760,0.060,0.393,-3.580E-13,0.0014,0.009,-8.327E-15,8.760,-0.118,-0.681,3.054,-0.0028,-0.016,0.073,8.760,-0.113,-0.733,0.873,-0.0027,-0.018,0.021,8.760,0.096,0.654,-8.290,0.0023,0.016,-0.198,,,,,,,,8.760,0.113,0.681,0.436,0.0027,0.016,0.010,8.760,0.104,-0.419,-3.927,0.0025,-0.010,-0.094,8.760,-0.115,0.288,3.491,-0.0027,0.007,0.083,8.760,-0.057,0.628,2.182,-0.0013,0.015,0.052,8.760,0.126,-0.550,-0.436,0.0030,-0.013,-0.010,8.760,-0.121,-0.026,2.182,-0.0029,-6.250E-4,0.052,8.760,0.336,0.026,-7.418,0.0080,6.250E-4,-0.177
8.770,-0.069,0.497,-2.618,-0.0017,0.012,-0.063,8.770,-0.044,0.602,4.363,-0.0010,0.014,0.104,8.770,0.039,-0.340,3.054,9.3750E-4,-0.008,0.073,8.770,0.064,0.419,1.309,0.0015,0.010,0.031,8.770,-0.124,-0.602,3.927,-0.0030,-0.014,0.094,8.770,-0.119,-0.707,0.873,-0.0028,-0.017,0.021,8.770,0.102,0.576,-2.618,0.0024,0.014,-0.063,,,,,,,,8.770,0.121,0.707,-5.107E-13,0.0029,0.017,-1.180E-14,8.770,0.101,-0.471,-2.182,0.0024,-0.011,-0.052,8.770,-0.112,0.340,3.491,-0.0027,0.008,0.083,8.770,-0.050,0.654,3.054,-0.0012,0.016,0.073,8.770,0.121,-0.576,-4.363,0.0029,-0.014,-0.104,8.770,-0.121,0.000,1.309,-0.0029,0.000,0.031,8.770,0.336,-0.026,-7.418,0.0080,-6.250E-4,-0.177
8.780,-0.063,0.471,-2.182,-0.0015,0.011,-0.052,8.780,-0.038,0.654,4.800,-9.0000E-4,0.016,0.115,8.780,0.036,-0.314,2.182,8.6250E-4,-0.007,0.052,8.780,0.068,0.445,0.873,0.0016,0.011,0.021,8.780,-0.129,-0.576,2.618,-0.0031,-0.014,0.063,8.780,-0.127,-0.707,0.873,-0.0030,-0.017,0.021,8.780,0.107,0.602,3.491,0.0026,0.014,0.083,,,,,,,,8.780,0.127,0.707,-2.618,0.0030,0.017,-0.063,8.780,0.094,-0.471,6.606E-13,0.0023,-0.011,1.561E-14,8.780,-0.108,0.367,3.054,-0.0026,0.009,0.073,8.780,-0.044,0.707,3.054,-0.0010,0.017,0.073,8.780,0.115,-0.681,-5.672,0.0027,-0.016,-0.135,8.780,-0.121,0.000,0.873,-0.0029,0.000,0.021,8.780,0.336,-0.105,-8.727,0.0080,-0.002,-0.208
8.790,-0.060,0.445,-1.309,-0.0014,0.011,-0.031,8.790,-0.030,0.707,3.491,-7.1250E-4,0.017,0.083,8.790,0.033,-0.314,2.182,7.8750E-4,-0.007,0.052,8.790,0.074,0.445,-0.873,0.0018,0.011,-0.021,8.790,-0.135,-0.576,2.618,-0.0032,-0.014,0.062,8.790,-0.134,-0.707,1.309,-0.0032,-0.017,0.031,8.790,0.113,0.681,5.672,0.0027,0.016,0.135,,,,,,,,8.790,0.135,0.654,-5.236,0.0032,0.016,-0.125,8.790,0.090,-0.445,-0.436,0.0021,-0.011,-0.010,8.790,-0.104,0.393,2.618,-0.0025,0.009,0.062,8.790,-0.036,0.733,1.745,-8.6250E-4,0.017,0.042,8.790,0.107,-0.733,-3.491,0.0026,-0.017,-0.083,8.790,-0.121,0.000,1.745,-0.0029,0.000,0.042,8.790,0.335,-0.209,-9.599,0.0080,-0.005,-0.229
8.800,-0.055,0.445,-0.873,-0.0013,0.011,-0.021,8.800,-0.024,0.733,1.309,-5.6250E-4,0.017,0.031,8.800,0.030,-0.288,3.054,7.1250E-4,-0.007,0.073,8.800,0.077,0.419,-1.745,0.0018,0.010,-0.042,8.800,-0.141,-0.550,4.363,-0.0034,-0.013,0.104,8.800,-0.141,-0.681,2.618,-0.0034,-0.016,0.063,8.800,0.121,0.759,2.618,0.0029,0.018,0.062,,,,,,,,8.800,0.141,0.576,-5.236,0.0034,0.014,-0.125,8.800,0.086,-0.445,-3.491,0.0021,-0.011,-0.083,8.800,-0.101,0.419,2.618,-0.0024,0.010,0.063,8.800,-0.028,0.733,0.436,-6.7500E-4,0.017,0.010,8.800,0.099,-0.733,-1.309,0.0024,-0.017,-0.031,8.800,-0.121,0.026,3.491,-0.0029,6.250E-4,0.083,8.800,0.331,-0.314,-9.163,0.0079,-0.007,-0.219
8.810,-0.050,0.445,-1.745,-0.0012,0.011,-0.042,8.810,-0.016,0.733,-1.309,-3.7500E-4,0.017,-0.031,8.810,0.027,-0.236,3.491,6.3750E-4,-0.006,0.083,8.810,0.082,0.393,-1.309,0.0020,0.009,-0.031,8.810,-0.146,-0.471,4.800,-0.0035,-0.011,0.115,8.810,-0.148,-0.654,3.927,-0.0035,-0.016,0.094,8.810,0.129,0.759,-3.491,0.0031,0.018,-0.083,,,,,,,,8.810,0.146,0.524,-3.054,0.0035,0.012,-0.073,8.810,0.082,-0.524,-5.236,0.0020,-0.012,-0.125,8.810,-0.096,0.445,2.618,-0.0023,0.011,0.063,8.810,-0.022,0.733,-0.436,-5.2500E-4,0.017,-0.010,8.810,0.093,-0.733,-2.182,0.0022,-0.018,-0.052,8.810,-0.121,0.079,4.800,-0.0029,0.002,0.115,8.810,0.328,-0.393,-8.290,0.0078,-0.009,-0.198
8.820,-0.046,0.419,-3.491,-0.0011,0.010,-0.083,8.820,-0.008,0.707,-3.054,-1.8750E-4,0.017,-0.073,8.820,0.025,-0.209,3.054,6.0000E-4,-0.005,0.073,8.820,0.085,0.393,-0.436,0.0020,0.009,-0.010,8.820,-0.151,-0.419,3.054,-0.0036,-0.010,0.073,8.820,-0.154,-0.602,4.800,-0.0037,-0.014,0.115,8.820,0.137,0.681,-8.727,0.0033,0.016,-0.208,,,,,,,,8.820,0.151,0.524,-1.745,0.0036,0.012,-0.042,8.820,0.075,-0.602,-3.491,0.0018,-0.014,-0.083,8.820,-0.091,0.471,2.618,-0.0022,0.011,0.063,8.820,-0.014,0.733,-1.309,-3.3750E-4,0.017,-0.031,8.820,0.085,-0.759,-4.363,0.0020,-0.018,-0.104,8.820,-0.119,0.131,5.236,-0.0029,0.003,0.125,8.820,0.324,-0.471,-7.854,0.0077,-0.011,-0.188
8.830,-0.042,0.367,-4.363,-0.0010,0.009,-0.104,8.830,-0.002,0.654,-3.054,-3.7500E-5,0.016,-0.073,8.830,0.024,-0.183,2.618,5.6250E-4,-0.004,0.062,8.830,0.090,0.393,-0.436,0.0021,0.009,-0.010,8.830,-0.154,-0.419,1.745,-0.0037,-0.010,0.042,8.830,-0.160,-0.550,4.800,-0.0038,-0.013,0.115,8.830,0.143,0.550,-10.036,0.0034,0.013,-0.240,,,,,,,,8.830,0.157,0.524,-3.054,0.0038,0.013,-0.073,8.830,0.069,-0.602,-0.436,0.0017,-0.014,-0.010,8.830,-0.086,0.497,2.618,-0.0021,0.012,0.062,8.830,-0.006,0.707,-1.309,-1.5000E-4,0.017,-0.031,8.830,0.077,-0.838,-4.363,0.0018,-0.020,-0.104,8.830,-0.118,0.183,4.800,-0.0028,0.004,0.115,8.830,0.319,-0.550,-7.854,0.0076,-0.013,-0.188
8.840,-0.038,0.314,-3.491,-9.0000E-4,0.008,-0.083,8.840,0.005,0.628,-1.745,1.1250E-4,0.015,-0.042,8.840,0.020,-0.157,2.618,4.8750E-4,-0.004,0.063,8.840,0.093,0.393,-1.309,0.0022,0.009,-0.031,8.840,-0.159,-0.419,3.054,-0.0038,-0.010,0.073,8.840,-0.165,-0.497,3.491,-0.0039,-0.012,0.083,8.840,0.148,0.445,-7.418,0.0035,0.011,-0.177,,,,,,,,8.840,0.162,0.471,-5.236,0.0039,0.011,-0.125,8.840,0.063,-0.576,0.436,0.0015,-0.014,0.010,8.840,-0.082,0.524,2.182,-0.0020,0.013,0.052,8.840,-4.597E-17,0.681,-5.274E-13,2.3039E-18,0.016,-1.266E-14,8.840,0.069,-0.890,-0.873,0.0017,-0.021,-0.021,8.840,-0.116,0.236,3.491,-0.0028,0.006,0.083,8.840,0.313,-0.628,-7.418,0.0075,-0.015,-0.177
8.850,-0.036,0.288,-1.745,-8.6250E-4,0.007,-0.042,8.850,0.011,0.628,-9.437E-13,2.6250E-4,0.015,-2.290E-14,8.850,0.020,-0.131,2.618,4.8750E-4,-0.003,0.063,8.850,0.097,0.367,-2.182,0.0023,0.009,-0.052,8.850,-0.163,-0.367,5.236,-0.0039,-0.009,0.125,8.850,-0.170,-0.471,2.182,-0.0040,-0.011,0.052,8.850,0.151,0.393,-3.054,0.0036,0.009,-0.073,,,,,,,,8.850,0.167,0.393,-5.236,0.0040,0.009,-0.125,8.850,0.058,-0.576,-0.873,0.0014,-0.014,-0.021,8.850,-0.075,0.550,1.309,-0.0018,0.013,0.031,8.850,0.006,0.707,0.873,1.5000E-4,0.017,0.021,8.850,0.058,-0.864,3.054,0.0014,-0.021,0.073,8.850,-0.113,0.262,2.182,-0.0027,0.006,0.052,8.850,0.306,-0.707,-6.545,0.0073,-0.017,-0.156
8.860,-0.033,0.288,-1.309,-7.8750E-4,0.007,-0.031,8.860,0.017,0.628,1.309,4.1250E-4,0.015,0.031,8.860,0.019,-0.105,3.054,4.5000E-4,-0.002,0.073,8.860,0.101,0.340,-2.182,0.0024,0.008,-0.052,8.860,-0.167,-0.288,5.672,-0.0040,-0.007,0.135,8.860,-0.174,-0.471,2.182,-0.0042,-0.011,0.052,8.860,0.156,0.393,0.873,0.0037,0.009,0.021,,,,,,,,8.860,0.170,0.340,-3.054,0.0041,0.008,-0.073,8.860,0.052,-0.602,-1.745,0.0012,-0.014,-0.042,8.860,-0.071,0.550,0.436,-0.0017,0.013,0.010,8.860,0.014,0.733,-0.436,3.3750E-4,0.017,-0.010,8.860,0.050,-0.785,3.054,0.0012,-0.019,0.073,8.860,-0.110,0.262,2.182,-0.0026,0.006,0.052,8.860,0.298,-0.759,-6.109,0.0071,-0.018,-0.146
8.870,-0.030,0.288,-3.054,-7.1250E-4,0.007,-0.073,8.870,0.024,0.654,1.745,5.6250E-4,0.016,0.042,8.870,0.017,-0.079,3.491,4.1250E-4,-0.002,0.083,8.870,0.104,0.314,-1.745,0.0025,0.007,-0.042,8.870,-0.168,-0.236,4.800,-0.0040,-0.006,0.115,8.870,-0.179,-0.445,3.927,-0.0043,-0.011,0.094,8.870,0.159,0.419,3.054,0.0038,0.010,0.073,,,,,,,,8.870,0.173,0.340,-2.182,0.0041,0.008,-0.052,8.870,0.046,-0.628,-1.309,0.0011,-0.015,-0.031,8.870,-0.064,0.550,4.330E-13,-0.0015,0.013,1.041E-14,8.870,0.022,0.707,-2.618,5.2500E-4,0.017,-0.062,8.870,0.044,-0.759,6.328E-13,0.0011,-0.018,1.544E-14,8.870,-0.108,0.288,3.054,-0.0026,0.007,0.073,8.870,0.291,-0.812,-6.545,0.0069,-0.019,-0.156
8.880,-0.027,0.236,-5.236,-6.3750E-4,0.006,-0.125,8.880,0.030,0.681,1.309,7.1250E-4,0.016,0.031,8.880,0.017,-0.026,3.491,4.1250E-4,-6.250E-4,0.083,8.880,0.107,0.314,-1.745,0.0026,0.007,-0.042,8.880,-0.171,-0.209,4.800,-0.0041,-0.005,0.115,8.880,-0.184,-0.393,5.672,-0.0044,-0.009,0.135,8.880,0.163,0.471,2.182,0.0039,0.011,0.052,,,,,,,,8.880,0.176,0.340,-4.800,0.0042,0.008,-0.115,8.880,0.039,-0.628,-0.436,9.3750E-4,-0.015,-0.010,8.880,-0.060,0.550,0.436,-0.0014,0.013,0.010,8.880,0.028,0.654,-3.054,6.7500E-4,0.016,-0.073,8.880,0.036,-0.812,-1.309,8.6250E-4,-0.019,-0.031,8.880,-0.105,0.340,3.054,-0.0025,0.008,0.073,8.880,0.283,-0.890,-6.981,0.0067,-0.021,-0.167
8.890,-0.025,0.157,-5.672,-6.0000E-4,0.004,-0.135,8.890,0.038,0.681,0.436,9.0000E-4,0.016,0.010,8.890,0.017,0.000,3.491,4.1250E-4,0.000,0.083,8.890,0.110,0.288,-2.182,0.0026,0.007,-0.052,8.890,-0.173,-0.157,5.672,-0.0041,-0.004,0.135,8.890,-0.187,-0.314,5.672,-0.0045,-0.007,0.135,8.890,0.168,0.497,-2.182,0.0040,0.012,-0.052,,,,,,,,8.890,0.181,0.262,-8.290,0.0043,0.006,-0.198,8.890,0.033,-0.628,-0.436,7.8750E-4,-0.015,-0.010,8.890,-0.053,0.550,0.873,-0.0013,0.013,0.021,8.890,0.035,0.628,-2.618,8.2500E-4,0.015,-0.062,8.890,0.027,-0.838,1.309,6.3750E-4,-0.020,0.031,8.890,-0.101,0.367,2.182,-0.0024,0.009,0.052,8.890,0.273,-0.969,-6.109,0.0065,-0.023,-0.146
8.900,-0.024,0.105,-4.363,-5.6250E-4,0.003,-0.104,8.900,0.044,0.681,5.163E-13,0.0011,0.016,1.197E-14,8.900,0.017,0.026,3.927,4.1250E-4,6.250E-4,0.094,8.900,0.113,0.262,-2.618,0.0027,0.006,-0.062,8.900,-0.174,-0.079,5.672,-0.0042,-0.002,0.135,8.900,-0.190,-0.262,4.363,-0.0045,-0.006,0.104,8.900,0.174,0.445,-8.290,0.0042,0.011,-0.198,,,,,,,,8.900,0.182,0.131,-8.290,0.0044,0.003,-0.198,8.900,0.027,-0.628,-0.873,6.3750E-4,-0.015,-0.021,8.900,-0.049,0.576,0.436,-0.0012,0.014,0.010,8.900,0.041,0.628,-3.054,9.7500E-4,0.015,-0.073,8.900,0.019,-0.785,4.363,4.5000E-4,-0.019,0.104,8.900,-0.097,0.367,1.745,-0.0023,0.009,0.042,8.900,0.262,-1.021,-3.927,0.0063,-0.024,-0.094
8.910,-0.024,0.079,-3.054,-5.6250E-4,0.002,-0.073,8.910,0.050,0.681,-0.436,0.0012,0.016,-0.010,8.910,0.017,0.079,4.800,4.1250E-4,0.002,0.115,8.910,0.115,0.236,-2.618,0.0027,0.006,-0.063,8.910,-0.174,-0.026,3.927,-0.0042,-6.250E-4,0.094,8.910,-0.192,-0.236,3.491,-0.0046,-0.006,0.083,8.910,0.178,0.314,-11.781,0.0042,0.008,-0.281,,,,,,,,8.910,0.182,0.052,-4.800,0.0044,0.001,-0.115,8.910,0.020,-0.654,-9.215E-13,4.8750E-4,-0.016,-2.229E-14,8.910,-0.042,0.576,-1.309,-0.0010,0.014,-0.031,8.910,0.047,0.576,-3.927,0.0011,0.014,-0.094,8.910,0.011,-0.707,4.363,2.6250E-4,-0.017,0.104,8.910,-0.094,0.393,1.745,-0.0023,0.009,0.042,8.910,0.253,-1.047,-1.309,0.0060,-0.025,-0.031
8.920,-0.022,0.052,-2.618,-5.2500E-4,0.001,-0.063,8.920,0.058,0.681,-1.745,0.0014,0.016,-0.042,8.920,0.019,0.131,4.800,4.5000E-4,0.003,0.115,8.920,0.118,0.209,-2.618,0.0028,0.005,-0.063,8.920,-0.174,0.000,2.182,-0.0042,0.000,0.052,8.920,-0.195,-0.209,4.363,-0.0046,-0.005,0.104,8.920,0.181,0.157,-10.472,0.0043,0.004,-0.250,,,,,,,,8.920,0.182,0.052,-1.745,0.0044,0.001,-0.042,8.920,0.014,-0.654,2.618,3.3750E-4,-0.016,0.062,8.920,-0.036,0.550,-2.618,-8.6250E-4,0.013,-0.063,8.920,0.053,0.524,-3.491,0.0013,0.013,-0.083,8.920,0.005,-0.681,1.745,1.1250E-4,-0.016,0.042,8.920,-0.090,0.419,0.873,-0.0021,0.010,0.021,8.920,0.242,-1.047,0.436,0.0058,-0.025,0.010
8.930,-0.022,0.026,-2.182,-5.2500E-4,6.250E-4,-0.052,8.930,0.064,0.654,-3.491,0.0015,0.016,-0.083,8.930,0.020,0.183,3.927,4.8750E-4,0.004,0.094,8.930,0.119,0.183,-2.618,0.0029,0.004,-0.063,8.930,-0.174,0.000,2.182,-0.0042,0.000,0.052,8.930,-0.196,-0.157,5.672,-0.0047,-0.004,0.135,8.930,0.181,0.079,-6.109,0.0043,0.002,-0.146,,,,,,,,8.930,0.184,0.052,-1.745,0.0044,0.001,-0.042,8.930,0.006,-0.602,5.236,1.5000E-4,-0.014,0.125,8.930,-0.031,0.497,-1.309,-7.5000E-4,0.012,-0.031,8.930,0.057,0.497,-2.182,0.0014,0.012,-0.052,8.930,-0.002,-0.681,-0.436,-3.7500E-5,-0.016,-0.010,8.930,-0.085,0.419,,-0.0020,0.010,,8.930,0.231,-1.021,-0.436,0.0055,-0.024,-0.010
8.940,-0.022,0.000,-1.745,-5.2500E-4,0.000,-0.042,8.940,0.071,0.602,-4.363,0.0017,0.014,-0.104,8.940,0.022,0.209,3.054,5.2500E-4,0.005,0.073,8.940,0.121,0.157,-2.618,0.0029,0.004,-0.063,8.940,-0.174,0.026,4.363,-0.0042,6.250E-4,0.104,8.940,-0.198,-0.079,5.672,-0.0047,-0.002,0.135,8.940,0.181,0.052,-2.618,0.0043,0.001,-0.063,,,,,,,,8.940,0.184,0.026,-3.491,0.0044,6.250E-4,-0.083,8.940,0.002,-0.524,5.236,3.7500E-5,-0.012,0.125,8.940,-0.027,0.497,1.309,-6.3750E-4,0.012,0.031,8.940,0.063,0.497,-2.618,0.0015,0.012,-0.063,8.940,-0.009,-0.707,0.436,-2.2500E-4,-0.017,0.010,8.940,-0.082,0.393,,-0.0020,0.009,,8.940,0.221,-1.021,-3.491,0.0053,-0.024,-0.083
8.950,-0.022,0.000,-2.182,-5.2500E-4,0.000,-0.052,8.950,0.077,0.550,-3.491,0.0018,0.013,-0.083,8.950,0.025,0.236,2.618,6.0000E-4,0.006,0.063,8.950,0.123,0.131,-2.618,0.0029,0.003,-0.063,8.950,-0.174,0.079,7.418,-0.0042,0.002,0.177,8.950,-0.198,-0.026,4.363,-0.0047,-6.250E-4,0.104,8.950,0.182,0.052,-2.182,0.0044,0.001,-0.052,,,,,,,,8.950,0.184,-0.026,-5.236,0.0044,-6.250E-4,-0.125,8.950,-0.003,-0.471,3.054,-7.5000E-5,-0.011,0.073,8.950,-0.022,0.550,1.745,-5.2500E-4,0.013,0.042,8.950,0.068,0.471,-4.363,0.0016,0.011,-0.104,8.950,-0.016,-0.707,3.927,-3.7500E-4,-0.017,0.094,8.950,-0.077,,,-0.0018,,,8.950,0.212,-1.100,-4.800,0.0051,-0.026,-0.115
8.960,-0.022,-0.026,-3.927,-5.2500E-4,-6.250E-4,-0.094,8.960,0.082,0.524,-2.182,0.0020,0.012,-0.052,8.960,0.027,0.262,3.054,6.3750E-4,0.006,0.073,8.960,0.124,0.105,-2.618,0.0030,0.002,-0.062,8.960,-0.173,0.183,8.290,-0.0041,0.004,0.198,8.960,-0.198,0.000,3.491,-0.0047,0.000,0.083,8.960,0.182,0.026,-3.491,0.0044,6.250E-4,-0.083,,,,,,,,8.960,0.184,-0.079,-6.545,0.0044,-0.002,-0.156,8.960,-0.008,-0.471,0.873,-1.8750E-4,-0.011,0.021,8.960,-0.016,0.576,-1.309,-3.7500E-4,0.014,-0.031,8.960,0.072,0.393,-5.672,0.0017,0.009,-0.135,8.960,-0.024,-0.628,7.418,-5.6250E-4,-0.015,0.177,,,,,,,,8.960,0.199,-1.178,-1.745,0.0048,-0.028,-0.042
8.970,-0.022,-0.079,-5.672,-5.2500E-4,-0.002,-0.135,8.970,0.086,0.524,-2.182,0.0021,0.012,-0.052,8.970,0.030,0.288,3.491,7.1250E-4,0.007,0.083,8.970,0.124,0.079,-2.618,0.0030,0.002,-0.062,8.970,-0.171,0.288,5.672,-0.0041,0.007,0.135,8.970,-0.198,0.026,4.363,-0.0047,6.250E-4,0.104,8.970,0.182,-0.026,-5.236,0.0044,-6.250E-4,-0.125,,,,,,,,8.970,0.182,-0.157,-6.981,0.0044,-0.004,-0.167,8.970,-0.013,-0.471,0.436,-3.0000E-4,-0.011,0.010,8.970,-0.009,0.524,-4.800,-2.2500E-4,0.012,-0.115,8.970,0.075,0.340,-6.109,0.0018,0.008,-0.146,8.970,-0.030,-0.524,7.418,-7.1250E-4,-0.012,0.177,,,,,,,,8.970,0.187,-1.152,2.182,0.0045,-0.028,0.052
8.980,-0.024,-0.157,-5.672,-5.6250E-4,-0.004,-0.135,8.980,0.093,0.497,-3.491,0.0022,0.012,-0.083,8.980,0.033,0.340,3.491,7.8750E-4,0.008,0.083,8.980,0.126,0.052,-2.618,0.0030,0.001,-0.062,8.980,-0.167,0.314,1.745,-0.0040,0.007,0.042,8.980,-0.198,0.079,6.109,-0.0047,0.002,0.146,8.980,0.182,-0.079,-6.545,0.0044,-0.002,-0.156,,,,,,,,8.980,0.181,-0.236,-6.545,0.0043,-0.006,-0.156,8.980,-0.017,-0.471,1.309,-4.1250E-4,-0.011,0.031,8.980,-0.005,0.445,-5.236,-1.1250E-4,0.011,-0.125,8.980,0.079,0.288,-6.545,0.0019,0.007,-0.156,8.980,-0.033,-0.445,3.927,-7.8750E-4,-0.011,0.094,,,,,,,,8.980,0.176,-1.073,2.182,0.0042,-0.026,0.052
8.990,-0.025,-0.209,-4.363,-6.0000E-4,-0.005,-0.104,8.990,0.097,0.445,-4.363,0.0023,0.011,-0.104,8.990,0.036,0.367,3.054,8.6250E-4,0.009,0.073,8.990,0.126,0.026,-2.618,0.0030,6.250E-4,-0.062,8.990,-0.163,0.288,1.309,-0.0039,0.007,0.031,8.990,-0.196,0.157,6.981,-0.0047,0.004,0.167,8.990,0.181,-0.157,-6.981,0.0043,-0.004,-0.167,,,,,,,,8.990,0.178,-0.288,-5.672,0.0042,-0.007,-0.135,8.990,-0.022,-0.445,2.182,-5.2500E-4,-0.011,0.052,8.990,-0.002,0.393,-2.618,-3.7500E-5,0.009,-0.062,8.990,0.082,0.209,-6.545,0.0020,0.005,-0.156,8.990,-0.038,-0.445,1.309,-9.0000E-4,-0.011,0.031,,,,,,,,8.990,0.167,-1.073,-0.436,0.0040,-0.026,-0.010
